CGPA,Python_Skill,SQL_Skill,Machine_Learning_Skill,Deep_Learning_Skill,Data_Analysis_Skill,Statistics_Skill,Programming_Skill,DSA_Skill,Web_Development_Skill,Cybersecurity_Skill,Networking_Skill,Linux_Skill,Cloud_Skill,DevOps_Skill,NLP_Skill,Computer_Vision_Skill,OpenCV_Skill,Projects,Internship,Communication_Skill,Problem_Solving_Skill,Job_Role
7.19,5,2,4,5,3,5,4,3,5,2,4,2,4,5,1,4,2,4,0,3,4,AI Engineer
6.81,5,3,4,5,1,3,5,3,5,1,2,4,1,4,2,2,1,2,0,2,5,AI Engineer
6.58,5,1,5,4,4,2,2,4,5,2,2,4,2,2,4,4,1,3,0,4,5,AI Engineer
8.86,4,4,4,4,1,5,5,1,1,1,1,4,3,3,1,3,3,4,1,2,5,AI Engineer
7.11,5,1,5,4,4,3,3,1,3,5,3,1,5,2,3,1,2,0,1,1,4,AI Engineer
5.64,5,5,5,5,4,5,3,3,4,2,2,5,1,5,4,4,4,0,1,5,5,AI Engineer
7.93,5,1,5,5,1,4,5,1,3,3,1,5,1,3,2,4,3,1,0,4,5,AI Engineer
8.66,5,4,5,4,1,5,1,1,3,1,2,2,4,5,1,1,3,0,1,1,5,AI Engineer
7.52,5,1,4,4,2,3,1,1,4,3,5,3,4,4,3,4,3,5,1,4,4,AI Engineer
7.07,4,3,4,5,1,2,2,3,4,2,1,4,4,1,2,1,4,3,0,1,4,AI Engineer
6.35,4,1,5,4,1,4,4,3,1,3,1,5,2,2,2,3,5,0,0,3,5,AI Engineer
6.57,5,1,4,5,3,5,3,3,3,2,5,1,4,1,5,4,5,4,1,4,4,AI Engineer
8.96,4,3,5,4,5,5,1,5,3,4,1,4,5,5,1,3,2,0,1,4,5,AI Engineer
8.63,4,2,4,5,1,1,1,3,5,2,2,3,2,1,5,4,2,5,1,2,4,AI Engineer
6.37,5,2,5,5,1,2,5,2,2,1,4,2,3,4,5,1,5,5,1,4,4,AI Engineer
7.56,4,5,5,5,2,3,1,3,4,2,2,5,2,5,1,4,5,5,0,4,4,AI Engineer
7.49,5,1,5,5,5,3,4,2,3,5,1,5,4,5,1,4,5,5,1,1,5,AI Engineer
7.71,5,5,5,5,4,2,2,3,2,1,5,5,4,2,1,4,3,3,0,5,5,AI Engineer
8.08,4,5,4,5,1,1,2,3,4,5,5,4,2,5,3,2,3,0,0,5,5,AI Engineer
7.23,5,4,5,4,2,5,3,5,4,1,5,5,1,4,2,5,1,1,1,2,4,AI Engineer
8.79,4,1,4,5,3,1,1,1,4,1,5,3,3,1,4,4,5,3,1,1,4,AI Engineer
6.94,4,5,4,4,4,1,4,3,5,4,5,1,5,5,2,2,2,5,0,4,4,AI Engineer
7.08,4,2,5,5,5,5,2,1,2,3,2,2,5,5,5,3,5,1,0,4,4,AI Engineer
9.76,4,3,4,4,3,2,2,3,3,5,5,2,4,2,4,4,5,0,0,4,4,AI Engineer
8.56,5,1,4,5,2,4,5,5,5,5,5,3,4,5,4,3,3,3,1,1,4,AI Engineer
8.33,4,1,4,5,2,4,4,5,2,4,4,2,2,4,2,4,4,5,0,1,5,AI Engineer
7.54,4,5,5,4,5,3,5,2,3,5,1,2,2,2,3,5,5,0,0,1,5,AI Engineer
9.15,4,3,4,4,5,1,2,1,3,1,5,4,1,5,5,3,5,0,0,5,4,AI Engineer
8.91,5,3,5,4,4,1,1,2,4,2,2,2,3,3,2,4,1,2,0,5,5,AI Engineer
9.44,4,3,4,4,2,2,2,2,3,3,2,4,1,1,4,2,3,0,0,5,5,AI Engineer
7.57,4,5,4,5,2,5,3,3,3,3,1,3,4,4,1,3,3,0,1,1,5,AI Engineer
8.21,4,4,4,4,5,1,5,1,4,2,2,1,2,5,3,1,2,2,0,5,5,AI Engineer
5.87,4,4,5,5,3,5,4,2,4,2,5,2,3,3,3,3,4,5,0,5,5,AI Engineer
7.9,4,1,5,5,4,1,1,5,4,1,4,2,3,1,5,2,4,0,0,5,4,AI Engineer
8.85,4,5,4,5,2,3,3,5,5,1,1,5,5,4,3,1,3,0,1,3,4,AI Engineer
9.92,5,4,4,5,1,2,3,2,3,5,4,5,2,4,3,4,1,5,1,4,4,AI Engineer
8.68,4,5,4,4,1,2,2,5,2,4,2,5,2,4,1,5,1,5,1,5,4,AI Engineer
7.62,5,4,4,4,3,1,2,4,3,3,1,4,5,3,1,5,4,2,1,1,4,AI Engineer
9.17,4,5,4,5,2,3,5,1,1,1,1,1,2,5,3,3,3,2,1,2,5,AI Engineer
6.13,4,5,5,5,5,5,3,1,4,2,2,5,3,2,1,5,4,4,0,4,5,AI Engineer
7.76,5,2,4,5,3,4,4,2,3,3,5,4,3,2,2,3,4,4,0,4,5,AI Engineer
5.95,4,4,5,5,5,5,2,1,4,2,1,3,5,1,3,1,5,0,0,4,5,AI Engineer
6.06,5,5,4,4,4,1,5,2,1,3,4,1,2,3,2,2,3,0,0,3,5,AI Engineer
6.51,4,5,4,5,5,3,2,4,2,5,1,1,4,1,1,4,4,3,0,3,4,AI Engineer
6.85,5,5,4,4,5,3,2,1,3,2,2,4,1,2,3,4,1,4,1,3,4,AI Engineer
8.89,4,1,5,5,5,1,1,3,3,5,1,5,3,3,1,4,2,1,1,3,5,AI Engineer
8.21,4,5,5,4,1,5,3,5,3,4,5,4,2,2,1,5,4,5,0,4,5,AI Engineer
7.13,4,2,4,4,3,4,2,4,1,2,3,1,2,3,1,1,2,3,1,5,4,AI Engineer
6.13,4,5,4,5,5,3,2,5,2,4,1,2,1,5,1,2,4,2,1,4,5,AI Engineer
6.12,5,5,4,5,2,5,1,2,5,4,2,2,4,3,1,3,5,0,0,3,4,AI Engineer
7.25,4,3,5,5,1,2,4,4,3,3,4,3,1,3,5,3,2,2,1,4,4,AI Engineer
7.05,4,2,4,4,3,2,5,4,4,3,2,4,3,5,4,3,3,0,0,1,5,AI Engineer
8.61,4,1,5,4,2,1,4,3,2,1,5,2,2,1,2,5,2,0,0,4,4,AI Engineer
8.79,4,2,4,5,2,3,2,1,3,4,4,5,2,3,5,3,2,2,1,2,4,AI Engineer
6.92,4,2,5,4,2,4,2,3,2,2,3,5,5,2,3,3,4,0,1,5,4,AI Engineer
5.67,4,1,5,5,1,1,3,5,2,4,2,5,1,1,5,1,1,3,0,4,5,AI Engineer
9.8,5,3,4,4,1,4,4,3,4,5,5,3,5,2,3,2,1,4,0,5,5,AI Engineer
9.01,4,3,5,5,1,5,3,2,3,2,2,1,3,3,5,5,1,5,0,5,4,AI Engineer
5.91,5,5,5,5,1,2,4,2,1,1,5,3,3,2,4,3,5,0,1,3,5,AI Engineer
9.83,5,2,4,4,3,2,3,2,3,5,5,1,3,4,1,3,3,4,1,5,4,AI Engineer
6.57,4,5,5,5,2,1,3,2,2,3,5,2,4,2,5,5,4,4,1,4,4,AI Engineer
8.28,5,5,4,5,2,1,2,4,4,5,5,4,4,4,2,4,3,0,0,1,5,AI Engineer
8.69,5,2,5,5,4,3,3,4,5,4,5,3,1,3,3,2,2,5,0,2,4,AI Engineer
9.75,4,3,4,4,4,3,3,3,1,4,4,5,5,5,3,4,3,2,0,1,4,AI Engineer
7.34,5,1,5,4,2,4,3,4,1,1,5,5,3,2,4,3,5,3,1,2,5,AI Engineer
9.64,4,4,4,5,1,4,5,5,2,3,5,1,5,2,2,3,5,2,1,1,5,AI Engineer
9.59,5,4,5,5,4,1,2,2,4,1,2,1,1,1,5,1,5,2,1,3,4,AI Engineer
6.1,4,2,4,4,3,5,3,3,1,1,1,2,4,2,4,4,3,1,1,2,5,AI Engineer
7.99,4,4,5,4,2,4,4,5,1,5,3,2,3,4,5,5,5,5,1,2,5,AI Engineer
8.0,5,3,5,5,3,3,5,5,1,4,1,5,2,5,4,5,4,1,0,5,5,AI Engineer
7.77,5,2,4,4,4,2,2,4,2,3,3,2,5,4,3,5,2,1,0,3,4,AI Engineer
6.09,4,5,4,4,1,4,5,1,4,2,1,3,1,1,4,2,3,3,1,2,4,AI Engineer
8.98,4,2,4,4,4,1,1,5,4,3,4,1,1,4,4,1,3,3,0,3,5,AI Engineer
7.64,4,3,4,4,2,2,1,5,4,2,5,1,3,5,5,3,5,0,1,4,5,AI Engineer
8.6,4,2,4,5,5,1,3,2,4,4,5,4,2,2,4,2,5,3,0,2,4,AI Engineer
7.5,4,3,5,5,2,1,2,1,4,3,1,4,1,1,3,5,5,4,0,2,5,AI Engineer
6.22,4,1,4,4,5,5,1,3,4,2,5,4,3,2,2,5,1,5,0,1,4,AI Engineer
7.19,5,4,5,4,3,4,5,1,1,1,1,3,4,2,3,3,2,5,1,1,4,AI Engineer
7.94,4,2,5,4,5,2,5,4,4,3,2,4,3,3,5,5,3,1,1,4,4,AI Engineer
9.54,4,5,4,5,2,5,4,5,4,3,5,4,3,2,4,2,2,0,1,3,5,AI Engineer
6.05,5,1,4,4,2,4,4,4,1,4,5,2,3,5,5,4,1,2,0,4,5,AI Engineer
6.29,4,3,4,4,2,3,4,4,2,1,2,3,4,2,1,2,5,0,0,2,5,AI Engineer
9.38,4,3,4,5,5,5,1,1,2,3,5,2,3,2,5,1,1,4,0,5,5,AI Engineer
