CGPA	Python_Skill	SQL_Skill	Machine_Learning_Skill	Projects	Internship	Communication_Skill	Problem_Solving_Skill	Deep_Learning_Skill	Data_Analysis_Skill	Job_Role
7.87	1	3	1	3	0	2	4	4	3	AI Engineer
6.66	4	3	4	3	0	4	1	1	4	Data Analyst
8.28	3	2	5	2	1	4	5	2	5	AI Engineer
8.45	2	4	5	2	0	4	1	4	4	ML Engineer
5.84	4	3	2	2	0	1	3	1	4	AI Engineer
6.43	3	4	1	4	1	4	3	2	4	ML Engineer
7.72	3	1	5	2	1	1	5	1	2	AI Engineer
7.32	3	5	4	5	1	5	1	2	3	ML Engineer
7.58	2	2	2	0	1	5	3	4	2	AI Engineer
6.83	1	3	4	1	0	3	2	2	4	Data Analyst
8.39	5	3	5	1	1	4	1	1	3	Data Analyst
8.3	1	5	2	5	0	1	2	2	5	Data Analyst
7.66	2	2	4	3	0	5	3	1	1	ML Engineer
8.61	4	2	4	1	0	2	5	4	1	AI Engineer
8.02	1	2	3	1	1	2	2	5	4	AI Engineer
6.83	4	2	4	2	0	4	5	1	4	ML Engineer
7.93	4	1	2	4	1	5	4	4	4	ML Engineer
6.74	4	1	5	1	0	3	5	2	2	ML Engineer
8.39	2	2	5	1	1	3	5	1	1	ML Engineer
7.56	1	3	5	5	1	3	4	4	2	ML Engineer
7.43	5	2	4	1	0	2	4	2	3	Data Analyst
6.99	2	2	1	2	1	3	1	3	3	Data Analyst
8.7	5	4	2	5	1	5	4	3	5	AI Engineer
7.46	1	2	3	2	1	2	1	3	5	AI Engineer
7.21	1	5	5	7	0	4	4	1	4	ML Engineer
7.28	4	4	3	2	1	4	4	2	1	ML Engineer
8.08	5	1	3	1	0	5	4	4	1	ML Engineer
7.93	5	2	1	1	0	4	4	5	3	ML Engineer
7.97	4	1	4	4	0	5	2	1	4	ML Engineer
7.99	2	2	2	2	1	4	2	3	4	ML Engineer
9.53	5	2	1	4	0	5	3	5	2	Data Analyst
7.23	4	1	5	8	1	4	3	2	1	ML Engineer
7.14	1	1	1	4	0	5	2	3	2	Data Analyst
6.87	1	3	1	2	1	5	3	5	4	Data Analyst
8.15	5	4	1	2	0	5	3	5	5	ML Engineer
8.62	2	2	3	2	1	3	2	4	5	Data Analyst
7.5	4	5	1	3	1	4	4	4	3	Data Analyst
6.84	1	2	5	3	0	5	2	4	1	AI Engineer
6.86	2	5	3	4	0	2	2	2	5	Data Analyst
8.19	2	2	2	2	1	1	3	5	1	ML Engineer
8.27	2	3	1	2	1	5	1	1	2	Data Analyst
8.09	4	4	3	4	1	4	4	1	5	Data Analyst
7	5	1	1	5	0	3	4	4	3	AI Engineer
7.81	5	5	5	4	1	4	5	5	1	AI Engineer
7.71	4	2	2	4	0	1	2	5	3	ML Engineer
7.8	2	3	3	3	0	3	3	4	1	Data Analyst
8.38	5	4	1	1	1	2	3	2	2	Data Analyst
7.8	3	4	1	4	1	2	4	2	5	Data Analyst
8.21	3	1	2	3	1	5	4	3	2	Data Analyst
7.66	4	5	1	1	1	3	5	2	5	Data Analyst
7.86	4	4	4	2	0	1	5	3	3	ML Engineer
8.17	5	5	5	2	1	2	1	1	4	Data Analyst
6.29	3	3	5	2	0	2	2	2	4	AI Engineer
7.31	4	4	2	2	0	5	4	5	3	ML Engineer
7.18	4	3	4	3	0	2	3	4	1	AI Engineer
7.03	2	5	3	3	1	2	3	1	5	Data Analyst
7.35	2	5	1	2	1	2	1	2	3	Data Analyst
8.95	4	5	1	1	0	1	3	2	4	Data Analyst
6.82	1	3	3	3	1	4	4	2	3	Data Analyst
8.47	2	4	3	8	1	3	1	4	4	ML Engineer
6.09	4	2	1	1	1	3	3	5	2	ML Engineer
7.3	5	3	5	5	1	2	5	4	5	ML Engineer
7.75	3	4	4	2	0	4	3	3	2	AI Engineer
8.13	2	1	3	4	1	1	5	1	4	Data Analyst
8.24	3	4	5	1	1	5	2	1	3	ML Engineer
8.31	4	1	5	1	1	3	1	5	3	ML Engineer
7.29	3	3	5	1	1	2	4	4	1	ML Engineer
7.18	1	3	2	5	1	3	2	3	2	AI Engineer
8.37	3	3	5	0	0	5	1	3	1	AI Engineer
7.43	3	3	3	5	1	1	1	5	3	AI Engineer
6.45	4	3	4	4	0	3	5	5	4	Data Analyst
6.58	5	3	5	1	0	3	4	1	3	AI Engineer
6.77	5	3	1	1	1	5	2	2	4	Data Analyst
8.05	4	3	3	2	1	3	3	1	2	ML Engineer
7.73	2	4	1	0	1	4	2	2	2	Data Analyst
8.22	3	3	2	2	1	4	1	4	3	Data Analyst
7.22	1	4	3	0	1	5	5	2	2	Data Analyst
7.74	5	5	5	3	1	2	5	1	5	Data Analyst
8.16	5	5	5	3	1	4	2	3	5	ML Engineer
7.32	5	1	2	4	0	2	2	3	3	AI Engineer
8.01	2	4	2	3	1	5	5	4	4	AI Engineer
7	2	2	3	5	0	5	3	1	1	AI Engineer
7.27	5	1	5	1	0	2	2	2	1	ML Engineer
7.26	3	4	5	3	0	3	2	4	2	ML Engineer
6.52	4	1	2	2	1	5	3	4	2	AI Engineer
8.04	3	5	1	0	1	1	3	5	2	Data Analyst
7.18	3	4	4	3	1	4	1	5	3	Data Analyst
7.61	4	5	2	5	1	5	3	5	4	AI Engineer
8.03	5	4	1	3	1	5	3	3	3	Data Analyst
8	2	5	1	1	0	1	2	5	3	Data Analyst
8.2	5	1	3	1	1	4	2	3	1	AI Engineer
7.51	2	5	2	3	1	4	3	5	2	ML Engineer
7.22	3	1	3	2	1	1	2	2	5	ML Engineer
7.53	5	2	2	1	0	4	5	3	5	ML Engineer
6.08	5	1	4	1	0	4	3	4	1	AI Engineer
6.3	5	3	4	2	1	5	3	2	1	ML Engineer
6.41	2	4	3	1	0	1	2	1	5	Data Analyst
6.7	5	2	1	3	0	5	5	5	1	Data Analyst
7.96	5	5	3	0	1	3	1	3	3	Data Analyst
6.79	5	4	4	2	0	2	3	5	5	Data Analyst
7.26	1	4	2	3	0	2	1	2	4	Data Analyst
8.77	4	5	2	3	1	4	4	5	3	ML Engineer
7.28	5	3	3	4	1	5	2	4	2	Data Analyst
8.26	4	2	2	4	1	2	2	4	4	AI Engineer
6.76	2	5	3	3	0	5	1	4	4	Data Analyst
7.42	4	3	2	3	0	4	4	2	5	Data Analyst
6.74	1	4	2	2	1	1	2	5	3	Data Analyst
7.29	3	2	4	2	1	3	2	5	5	ML Engineer
8.36	4	2	3	2	0	5	5	4	4	ML Engineer
6.05	3	1	3	4	1	1	1	5	1	AI Engineer
7.99	4	2	4	2	1	1	3	5	2	ML Engineer
7.81	2	1	2	4	1	1	1	4	4	Data Analyst
7.07	4	4	1	1	0	3	1	3	1	Data Analyst
6.3	4	1	5	3	0	1	1	5	4	AI Engineer
7.66	4	4	1	2	0	5	1	1	2	Data Analyst
7.12	2	5	3	4	0	1	5	3	2	ML Engineer
7.81	2	4	2	2	1	1	3	5	3	Data Analyst
7.62	2	3	2	1	1	2	5	5	5	Data Analyst
9.04	3	1	1	0	1	4	2	2	5	Data Analyst
7.38	3	5	5	4	1	5	4	1	3	ML Engineer
6.68	2	1	3	3	0	2	1	2	1	AI Engineer
7.76	3	4	2	2	0	3	1	5	5	AI Engineer
7.8	2	4	4	2	0	4	1	3	5	ML Engineer
8.82	2	1	1	7	0	4	5	1	4	Data Analyst
8.35	4	4	3	1	1	1	4	1	4	Data Analyst
7.92	5	1	3	1	1	5	4	2	3	Data Analyst
8.92	2	2	3	1	1	5	5	2	1	Data Analyst
6.53	5	5	1	2	1	4	2	1	1	Data Analyst
7.02	3	5	5	4	0	3	4	3	1	ML Engineer
6.77	1	2	2	2	0	2	3	3	5	Data Analyst
7.25	2	5	4	2	0	5	3	1	1	AI Engineer
6.36	1	5	4	3	0	5	4	2	3	Data Analyst
8.17	1	4	2	2	1	3	3	4	2	Data Analyst
7.4	2	1	1	0	1	4	1	5	1	AI Engineer
6.28	3	2	2	5	0	2	1	5	5	AI Engineer
6.69	4	4	5	2	0	4	3	3	1	ML Engineer
7.88	1	5	5	1	0	1	3	1	5	Data Analyst
8.35	5	5	5	3	1	5	4	5	4	AI Engineer
9.4	2	3	2	1	0	3	3	5	4	Data Analyst
10	1	2	4	3	0	3	1	2	1	Data Analyst
7.97	4	5	1	1	0	1	2	3	5	Data Analyst
6.71	4	2	4	1	1	3	3	1	3	ML Engineer
5.68	4	2	3	3	1	1	5	5	3	AI Engineer
7.84	1	5	4	2	1	5	3	4	4	ML Engineer
6.87	1	3	4	6	0	4	4	1	2	ML Engineer
7.23	2	2	5	3	0	3	4	4	2	AI Engineer
7.05	3	1	3	5	1	5	2	3	2	AI Engineer
7.47	5	3	2	1	0	5	5	3	3	AI Engineer
8.56	2	5	3	2	0	1	4	2	4	Data Analyst
7.74	1	3	1	3	1	1	5	5	2	Data Analyst
7.46	5	4	1	2	0	2	4	3	2	ML Engineer
6.67	1	2	3	0	0	1	4	5	5	Data Analyst
6.09	1	4	5	7	1	3	1	1	3	Data Analyst
7.16	3	4	3	1	1	3	3	3	5	Data Analyst
7.55	3	4	4	1	0	3	1	2	2	Data Analyst
9.19	4	4	1	3	0	1	4	5	2	ML Engineer
7.72	5	3	3	7	1	5	4	3	2	ML Engineer
8.48	5	2	4	0	0	5	3	4	3	Data Analyst
7.15	2	4	2	1	0	3	2	1	4	Data Analyst
6.53	5	5	1	1	1	1	1	4	3	AI Engineer
6.73	4	5	1	5	1	2	4	1	2	ML Engineer
6.95	1	2	5	2	1	4	4	2	5	AI Engineer
9.52	5	4	4	2	0	4	3	2	3	Data Analyst
6.86	1	1	2	4	0	2	4	1	2	ML Engineer
8.35	3	3	2	2	1	5	4	3	1	AI Engineer
6.79	4	3	1	1	1	5	3	2	3	Data Analyst
8.44	2	2	5	2	0	3	1	3	4	ML Engineer
7.95	2	5	1	2	1	2	5	4	5	Data Analyst
7.46	3	5	4	4	0	3	3	1	2	Data Analyst
7.56	5	1	2	0	1	1	4	4	1	AI Engineer
7.01	2	2	2	3	1	3	5	2	5	ML Engineer
8	4	2	2	3	1	1	2	2	3	ML Engineer
7.19	3	5	5	1	1	1	4	3	1	AI Engineer
6.5	1	3	1	5	1	3	1	4	1	AI Engineer
6.45	4	4	2	0	0	3	5	4	3	ML Engineer
7.76	5	5	2	2	0	5	1	1	4	Data Analyst
9.02	3	4	2	1	1	3	3	3	2	AI Engineer
7.74	1	1	1	0	0	5	2	2	2	Data Analyst
7.49	1	1	5	0	0	5	1	2	4	ML Engineer
7.86	3	2	2	4	0	2	3	5	5	AI Engineer
8.78	3	2	3	3	1	5	5	1	3	Data Analyst
7.8	3	4	2	1	0	3	1	3	3	Data Analyst
7.23	2	1	5	6	1	3	2	3	2	AI Engineer
8.6	3	2	2	2	0	1	1	2	1	ML Engineer
7.99	2	2	2	3	0	2	1	4	1	Data Analyst
8.98	4	1	2	1	1	3	2	3	5	ML Engineer
7.76	4	1	2	0	0	2	3	4	1	AI Engineer
6.5	4	1	1	3	0	3	4	2	5	Data Analyst
6.37	1	3	4	1	0	1	4	5	2	Data Analyst
9.09	5	3	1	4	1	2	4	4	4	Data Analyst
9.15	1	3	2	1	0	4	4	2	5	Data Analyst
7.44	5	3	2	7	0	4	2	5	4	AI Engineer
7.26	1	4	2	0	0	5	5	5	4	Data Analyst
8.92	3	5	4	1	0	5	1	3	2	Data Analyst
6.6	1	3	3	4	0	5	4	1	3	Data Analyst
6.79	1	4	5	2	1	1	1	3	4	ML Engineer
8.18	4	4	2	2	0	4	4	4	3	ML Engineer
7.24	4	4	5	3	0	2	1	2	1	ML Engineer
7.6	1	1	1	3	1	2	2	1	5	Data Analyst
7.45	5	5	3	2	1	2	2	3	1	ML Engineer
7.9	2	1	4	1	0	3	4	5	5	Data Analyst
8.87	2	3	3	1	0	1	1	2	5	Data Analyst
7.68	2	4	5	3	0	3	2	3	1	Data Analyst
8.18	3	3	2	4	1	1	2	1	4	ML Engineer
5.75	1	2	1	4	0	3	4	4	4	Data Analyst
7.56	3	5	4	3	0	4	5	5	2	Data Analyst
6.84	2	1	1	0	1	1	4	4	5	AI Engineer
6.5	1	2	4	1	0	1	3	3	1	ML Engineer
6.81	2	5	4	2	0	5	2	1	2	Data Analyst
7.3	4	4	5	0	0	4	5	3	5	ML Engineer
8.42	4	1	3	1	1	2	1	5	4	AI Engineer
6.41	2	4	5	2	1	5	1	1	1	ML Engineer
7.63	2	5	1	3	1	2	2	2	1	Data Analyst
7.16	4	1	3	6	1	5	2	5	2	AI Engineer
7.31	4	3	1	2	0	1	3	3	1	AI Engineer
8.5	5	3	4	1	1	4	5	1	1	Data Analyst
8.08	5	1	4	1	1	1	4	1	3	ML Engineer
8.8	5	2	5	2	1	1	2	3	1	Data Analyst
7.46	5	1	4	1	1	3	2	3	2	AI Engineer
6.97	3	1	2	3	0	1	4	5	2	AI Engineer
7.4	2	3	1	5	0	3	2	5	5	Data Analyst
7.82	2	3	5	0	1	2	5	3	5	AI Engineer
7.76	2	2	3	2	0	1	3	3	5	Data Analyst
6.62	4	2	1	2	1	5	3	5	2	Data Analyst
7.68	4	1	5	0	0	5	5	4	3	ML Engineer
7.81	5	4	5	0	0	5	2	2	3	AI Engineer
9.87	1	2	3	1	1	1	3	4	5	Data Analyst
9.29	3	5	4	5	1	2	3	4	4	ML Engineer
6.83	2	3	1	1	1	2	2	2	5	Data Analyst
7.34	5	5	1	1	0	2	1	5	3	Data Analyst
6.28	2	4	2	0	1	3	2	2	5	Data Analyst
7.07	1	2	4	5	1	3	1	3	4	ML Engineer
7.88	3	4	1	4	1	3	4	3	4	Data Analyst
8.69	5	2	1	0	1	2	1	4	4	ML Engineer
6.94	5	1	4	2	1	5	2	5	2	AI Engineer
7.01	1	2	4	3	0	5	5	2	4	Data Analyst
5.67	2	2	4	2	1	2	3	2	2	ML Engineer
7.45	1	1	4	1	1	2	4	4	4	AI Engineer
6.64	2	1	5	5	1	3	4	5	2	ML Engineer
7.12	3	5	4	1	0	2	2	5	4	Data Analyst
6.81	2	3	3	2	1	5	4	4	3	Data Analyst
7.52	1	3	5	4	1	3	2	4	4	Data Analyst
6.02	3	5	2	3	1	1	4	4	2	ML Engineer
6.28	1	2	1	3	1	1	4	5	4	AI Engineer
9.52	2	3	4	2	0	1	5	1	5	ML Engineer
6.44	1	5	2	2	0	2	5	3	1	Data Analyst
6.61	1	4	5	1	1	2	1	1	2	ML Engineer
9.25	3	2	3	6	0	5	2	3	4	ML Engineer
10	5	2	5	2	1	5	3	2	5	Data Analyst
6.55	4	1	1	3	1	1	2	2	4	Data Analyst
7.27	1	1	4	2	1	5	4	5	3	Data Analyst
7.91	1	1	3	2	0	3	5	4	2	AI Engineer
9.16	2	4	3	1	1	2	2	3	5	Data Analyst
6.71	4	4	2	1	1	3	5	5	5	Data Analyst
7.38	4	3	5	6	0	3	5	1	5	ML Engineer
8.3	5	4	2	1	1	1	5	4	2	Data Analyst
7.99	2	1	5	2	1	5	1	1	3	Data Analyst
7.26	1	2	3	0	1	1	2	2	2	ML Engineer
7.48	1	2	1	1	0	1	1	1	5	Data Analyst
6.36	1	5	5	2	0	2	1	3	5	Data Analyst
7.39	1	4	1	4	1	1	1	4	1	ML Engineer
7.36	5	5	2	1	0	1	3	4	2	Data Analyst
7.81	2	2	5	1	0	2	1	3	3	Data Analyst
7.1	5	5	5	5	1	2	2	5	3	ML Engineer
8.02	3	1	5	0	0	1	5	2	3	ML Engineer
8.51	3	2	3	2	1	5	5	1	2	ML Engineer
7.74	3	3	4	0	1	5	5	1	4	Data Analyst
7.92	5	1	2	2	1	4	1	1	5	Data Analyst
7.65	1	5	4	0	1	3	4	3	5	Data Analyst
7.6	1	5	3	3	1	5	4	3	3	Data Analyst
6.95	3	3	1	4	0	2	1	5	5	Data Analyst
7.88	2	2	3	0	0	3	5	1	4	ML Engineer
7.51	3	1	3	0	1	1	3	2	1	Data Analyst
9.48	4	4	2	4	0	4	5	5	4	Data Analyst
9.02	3	3	2	3	0	1	1	1	2	ML Engineer
7.95	2	4	3	4	0	4	4	3	4	Data Analyst
6.91	2	4	1	3	1	4	1	1	4	Data Analyst
6.6	4	1	1	3	0	2	5	3	5	ML Engineer
8.67	2	1	4	7	1	4	4	5	5	AI Engineer
7.84	3	4	2	4	0	2	1	2	5	Data Analyst
8.03	3	1	4	2	1	2	2	2	3	ML Engineer
6.03	4	5	3	2	0	3	2	3	3	AI Engineer
8.43	4	1	3	5	0	2	1	4	3	ML Engineer
8.01	3	4	3	1	1	4	1	5	5	Data Analyst
6.6	2	5	3	5	1	2	5	1	2	Data Analyst
7.18	2	3	5	7	0	3	5	3	3	ML Engineer
7.84	3	1	5	2	1	5	3	4	4	AI Engineer
7.65	2	5	2	2	1	2	5	1	1	Data Analyst
7.34	4	1	4	3	0	3	4	5	4	ML Engineer
7.51	2	3	5	2	1	5	1	2	2	ML Engineer
7.37	4	5	1	0	0	2	4	3	2	Data Analyst
7.74	4	4	4	0	1	1	1	5	4	AI Engineer
8.92	5	1	3	1	0	2	5	4	1	ML Engineer
5.29	1	5	5	3	1	5	2	5	1	ML Engineer
7.39	4	1	3	1	0	4	1	4	3	Data Analyst
7.76	1	4	5	4	1	5	2	2	3	Data Analyst
7.87	2	4	1	3	1	2	4	4	1	Data Analyst
7.27	1	2	1	4	1	5	5	4	2	ML Engineer
6.02	1	3	5	4	1	2	3	2	2	AI Engineer
7.9	1	1	3	4	1	4	1	1	3	Data Analyst
9.15	1	5	3	6	0	5	5	4	2	Data Analyst
6.22	5	2	1	1	0	2	4	3	1	ML Engineer
8.38	1	2	2	2	0	5	3	4	3	Data Analyst
